Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Dv7PTwSoB17f3VFDIKw8m,"3XHO7cRUPCLOr6jwp8vsx5","Dissolve Me","An Awesome Wave","alt-J",2012-09-18,239013,53,spotify:user:kelsey2701,2018-06-19T05:27:49Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.557,0.605,2,-8.194,1,0.0376,0.0986,0.0394,0.0859,0.121,107.951,4
4tmwiN9YU7xMjh2hoqcVuI,"3XHO7cRUPCLOr6jwp8vsx5","Taro","An Awesome Wave","alt-J",2012-09-18,314986,56,spotify:user:kelsey2701,2018-06-19T05:27:55Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.359,0.48,5,-10.634,1,0.0349,0.779,0.00328,0.0784,0.283,171.75,4
7DdXf9x75iEVCHWfoRwRuR,"3XHO7cRUPCLOr6jwp8vsx5","Fitzpleasure","An Awesome Wave","alt-J",2012-09-18,219400,62,spotify:user:kelsey2701,2018-06-19T05:28:00Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.584,0.594,9,-6.935,1,0.0487,0.142,0.00117,0.105,0.36,143.935,4
2H6NbSsccvcT1j4jwAjDmf,"3XHO7cRUPCLOr6jwp8vsx5","Pusher","This Is All Yours","alt-J",2014-09-22,209270,38,spotify:user:kelsey2701,2018-06-19T05:28:06Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.619,0.0488,2,-18.962,1,0.061,0.949,0.000523,0.131,0.101,114.685,4
3PLN4aXK0A8B76p0OYUDFd,"58R5LHkK3vkmEyGUPOR5kS","I Want to Know","Lunatic","KONGOS",2014-01-27,235106,44,spotify:user:kelsey2701,2018-06-19T05:28:11Z,"modern alternative rock,modern blues rock,south african rock",0.581,0.744,11,-6.561,1,0.0538,0.149,0.0000168,0.0969,0.813,158.05,4
3msQ1AerRdSbjrBk3F4W0q,"7Ln80lUS6He07XvHI8qqHH","Mad Sounds","AM","Arctic Monkeys",2013-09-09,215011,0,spotify:user:kelsey2701,2018-06-19T05:28:16Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.532,0.462,10,-10.71,1,0.03,0.279,0.196,0.101,0.485,80.001,4
6NLLIPKjqFRnbCorRNTEHe,"4EnEZVjo3w1cwcQYePccay","Express Yourself - Remix","Greatest Hits","N.W.A.",1996-07-02,261399,61,spotify:user:kelsey2701,2018-06-19T05:28:21Z,"conscious hip hop,gangster rap,golden age hip hop,hip hop,old school hip hop,rap,west coast rap",0.852,0.803,6,-6.929,0,0.264,0.00204,0,0.121,0.752,96.2,4
0dbQ4h3cs8QE5fOPMYdDrX,"1bj5GrcLom5gZFF5t949Xl,6M7RdR9ZP52h2mfNLmiHtU","Intoxicated - Radio Edit","Intoxicated (Radio Edit)","Martin Solveig,Good Times Ahead",2015-10-02,159560,59,spotify:user:kelsey2701,2018-06-19T05:28:25Z,"disco house,edm,electro house,filter house,house,pop dance,vocal house,brostep,dutch house,electronic trap",0.792,0.688,0,-4.008,1,0.0386,0.00435,0.00477,0.0972,0.502,124.987,4
5ftdTvmQjjsL23t7jxADfI,"2D4FOOOtWycb3Aw9nY5n3c","Brazil","Brazil","Declan McKenna",2015-12-04,252306,62,spotify:user:kelsey2701,2018-06-19T05:28:30Z,"pov: indie",0.689,0.617,4,-5.196,1,0.029,0.0918,0.0000208,0.0816,0.682,121.062,4
0xXmPzAdGlPBaJ0csqYxYs,"3HJIB8sYPyxrFGuwvKXSLR","Quartz","Seeds","TV On The Radio",2014-11-17,240798,44,spotify:user:kelsey2701,2018-06-19T05:28:44Z,"alternative dance,alternative rock,brooklyn indie,chamber pop,indie rock,indietronica,modern rock,neo-synthpop",0.495,0.778,0,-5.21,1,0.0292,0.00255,0.0487,0.402,0.143,96.023,4
