Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,target,Track Name,Artist Name(s)
0.334,0.334,216391,0.617,0.0,6,0.163,-5.834,0,0.383,85.227,4,0.603,0,Crying in the Club,Camila Cabello
0.429,0.662,220026,0.636,0.0,6,0.0945,-4.754,0,0.0427,89.979,4,0.869,0,Cheap Thrills,The Bellas
0.00451,0.847,154786,0.656,0.000854,2,0.143,-4.976,1,0.115,114.001,4,0.234,0,Wasabi,Little Mix
0.592,0.778,178626,0.317,0.0,1,0.0881,-10.732,0,0.334,140.048,4,0.327,0,7 rings,Ariana Grande
0.0372,0.566,247840,0.855,0.000157,7,0.181,-4.016,1,0.211,172.966,4,0.517,0,Power,Little Mix
0.375,0.655,184226,0.782,0.0,1,0.317,-4.789,1,0.185,79.427,4,0.832,0,Dear Future Husband,Meghan Trainor
0.0369,0.838,173386,0.683,0.0,10,0.638,-6.205,0,0.146,119.982,4,0.458,0,Whole Lotta Woman,Kelly Clarkson
0.0211,0.568,198160,0.656,1.37e-05,8,0.213,-5.413,1,0.0433,100.049,4,0.364,0,breathin,Ariana Grande
0.177,0.795,223040,0.75,0.0,1,0.0875,-3.604,1,0.0526,115.005,4,0.762,0,Dancing In The Dark - From The Home Soundtrack,Rihanna
0.0142,0.69,221493,0.897,0.0,11,0.108,-4.696,0,0.0506,140.05,4,0.849,0,How to Be a Heartbreaker,MARINA
0.0421,0.726,190440,0.554,0.0,5,0.106,-5.29,0,0.0917,169.999,4,0.335,0,"break up with your girlfriend, i'm bored",Ariana Grande
0.00681,0.529,173920,0.906,7.34e-05,5,0.318,-3.515,1,0.0695,165.888,4,0.474,0,What a Girl Is,Cast - Liv and Maddie
0.00072,0.569,222360,0.975,0.00203,1,0.127,-3.873,1,0.244,194.072,4,0.342,0,Bubble Pop Electric,"Gwen Stefani,Johnny Vulture"
0.147,0.791,192360,0.733,0.000381,6,0.0713,-5.215,0,0.052,114.98,4,0.761,0,Circus,Britney Spears
0.0263,0.781,160551,0.854,0.000211,10,0.344,-4.118,0,0.0745,103.021,4,0.41,0,Bounce Back,Little Mix
0.271,0.519,199946,0.749,0.0,6,0.119,-3.318,0,0.0405,147.905,4,0.29,0,Before He Cheats,Carrie Underwood
0.021,0.672,182200,0.855,0.0,9,0.323,-3.764,1,0.0397,123.056,4,0.646,0,Rain On Me (with Ariana Grande),"Lady Gaga,Ariana Grande"
